date,leads,applications,approvals,disbursals,loan_disbursal_volume,activation_rate,churn_rate,cac,ltv,ltv_cac_ratio,dau,npa_rate,support_ticket_volume,funnel_conversion,week_start,month_label
2024-01-01,161,91,60,51,10348887,0.5895,0.0621,4433,19398,4.38,1289,0.029,52,0.3168,2024-01-01,Jan 2024
2024-01-02,144,97,63,48,10919526,0.6219,0.055,4347,17450,4.01,1110,0.0219,76,0.3333,2024-01-01,Jan 2024
2024-01-03,166,89,63,48,9552774,0.6329,0.0447,4492,17411,3.88,1199,0.0227,75,0.2892,2024-01-01,Jan 2024
2024-01-04,194,131,84,67,19067451,0.6409,0.0629,3982,19548,4.91,1297,0.0237,73,0.3454,2024-01-01,Jan 2024
2024-01-05,141,76,51,41,7821939,0.6255,0.0499,4002,18770,4.69,1004,0.0262,63,0.2908,2024-01-01,Jan 2024
2024-01-06,53,35,23,19,4338331,0.6092,0.0514,3812,18747,4.92,408,0.0246,61,0.3585,2024-01-01,Jan 2024
2024-01-07,74,45,27,22,5222456,0.5954,0.0518,4351,19068,4.38,425,0.0208,85,0.2973,2024-01-01,Jan 2024
2024-01-08,170,115,78,63,14565604,0.6229,0.0636,4469,15074,3.37,1067,0.0228,69,0.3706,2024-01-08,Jan 2024
2024-01-09,136,74,46,36,7745845,0.5882,0.0425,4357,19673,4.52,1374,0.0226,83,0.2647,2024-01-08,Jan 2024
2024-01-10,163,100,72,64,13862354,0.5327,0.0742,4782,19400,4.06,1061,0.0239,65,0.3926,2024-01-08,Jan 2024
2024-01-11,136,91,56,45,9952185,0.6335,0.0617,4194,16156,3.85,1095,0.0252,81,0.3309,2024-01-08,Jan 2024
2024-01-12,136,83,54,44,9510739,0.6476,0.0567,4429,17717,4.0,1182,0.0252,101,0.3235,2024-01-08,Jan 2024
2024-01-13,59,37,22,17,4198599,0.5496,0.055,3813,18141,4.76,390,0.0197,87,0.2881,2024-01-08,Jan 2024
2024-01-14,40,25,18,15,4302452,0.5902,0.057,4059,17966,4.43,423,0.0268,72,0.375,2024-01-08,Jan 2024
2024-01-15,109,65,43,36,7407494,0.6391,0.0585,4437,18918,4.26,1198,0.0248,82,0.3303,2024-01-15,Jan 2024
2024-01-16,135,84,56,44,8212731,0.6823,0.0592,4491,21128,4.7,1124,0.0277,75,0.3259,2024-01-15,Jan 2024
2024-01-17,124,77,46,35,7618857,0.6213,0.0587,4090,20444,5.0,1152,0.0253,78,0.2823,2024-01-15,Jan 2024
2024-01-18,158,105,73,61,18289209,0.5988,0.0559,4168,15671,3.76,1104,0.027,73,0.3861,2024-01-15,Jan 2024
2024-01-19,127,69,43,36,7191863,0.6152,0.0541,3661,19554,5.34,1001,0.0254,75,0.2835,2024-01-15,Jan 2024
2024-01-20,44,25,17,13,3481682,0.662,0.0544,4067,20983,5.16,457,0.0276,82,0.2955,2024-01-15,Jan 2024
2024-01-21,74,49,30,26,6995680,0.6014,0.0542,4503,19114,4.24,528,0.0256,64,0.3514,2024-01-15,Jan 2024
2024-01-22,144,95,59,45,9263705,0.5969,0.0621,4392,20537,4.68,1170,0.024,63,0.3125,2024-01-22,Jan 2024
2024-01-23,152,91,55,44,10364016,0.6064,0.0589,4366,22395,5.13,1195,0.03,60,0.2895,2024-01-22,Jan 2024
2024-01-24,116,72,47,41,10966574,0.5923,0.0377,4208,20433,4.86,1253,0.0265,57,0.3534,2024-01-22,Jan 2024
2024-01-25,136,78,52,42,8829042,0.6246,0.0593,4192,18899,4.51,1031,0.0258,61,0.3088,2024-01-22,Jan 2024
2024-01-26,153,86,52,43,9231695,0.6697,0.0565,3958,20506,5.18,1389,0.0211,80,0.281,2024-01-22,Jan 2024
2024-01-27,46,27,18,14,2872342,0.6307,0.0552,4434,18720,4.22,454,0.0211,64,0.3043,2024-01-22,Jan 2024
2024-01-28,61,35,23,18,3505990,0.6135,0.053,4336,18493,4.26,525,0.0251,86,0.2951,2024-01-22,Jan 2024
2024-01-29,135,83,55,48,9768471,0.6124,0.0621,4361,17758,4.07,1091,0.0247,78,0.3556,2024-01-29,Jan 2024
2024-01-30,143,78,51,41,7787901,0.5743,0.061,4004,21602,5.4,1410,0.0229,52,0.2867,2024-01-29,Jan 2024
2024-01-31,135,91,59,51,11265983,0.6477,0.0507,3434,16854,4.91,1271,0.0248,89,0.3778,2024-01-29,Jan 2024
2024-02-01,226,153,102,80,16046682,0.6189,0.0571,4571,22924,5.02,1335,0.0284,99,0.354,2024-01-29,Feb 2024
2024-02-02,162,103,63,49,11086707,0.6159,0.0488,4019,20875,5.19,1294,0.0262,69,0.3025,2024-01-29,Feb 2024
